codigo_ccaa;comunidad_autonoma;sector;codigo_cnae;anio;salario_medio_anual_eur;brecha_vs_hosteleria_pct
15;Navarra, Comunidad Foral de;Hostelería;I;2022;19008.58;0.0
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);J;2023;35770.88;84.34
15;Navarra, Comunidad Foral de;Hostelería;I;2023;19404.59;0.0
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);J;2024;36500.9;84.34
15;Navarra, Comunidad Foral de;Hostelería;I;2024;19800.6;0.0
16;País Vasco;Información y comunicaciones (Tech);J;2020;35820.27;90.42
16;País Vasco;Hostelería;I;2020;18810.72;0.0
16;País Vasco;Información y comunicaciones (Tech);J;2021;37014.28;90.42
16;País Vasco;Hostelería;I;2021;19437.74;0.0
16;País Vasco;Información y comunicaciones (Tech);J;2022;38208.29;90.42
16;País Vasco;Hostelería;I;2022;20064.77;0.0
16;País Vasco;Información y comunicaciones (Tech);J;2023;39004.29;90.42
16;País Vasco;Hostelería;I;2023;20482.78;0.0
16;País Vasco;Información y comunicaciones (Tech);J;2024;39800.3;90.42
16;País Vasco;Hostelería;I;2024;20900.8;0.0
17;Rioja, La;Información y comunicaciones (Tech);J;2020;27990.18;75.21
17;Rioja, La;Hostelería;I;2020;15975.36;0.0
17;Rioja, La;Información y comunicaciones (Tech);J;2021;28923.19;75.21
17;Rioja, La;Hostelería;I;2021;16507.87;0.0
17;Rioja, La;Información y comunicaciones (Tech);J;2022;29856.19;75.21
17;Rioja, La;Hostelería;I;2022;17040.38;0.0
17;Rioja, La;Información y comunicaciones (Tech);J;2023;30478.2;75.21
17;Rioja, La;Hostelería;I;2023;17395.39;0.0
17;Rioja, La;Información y comunicaciones (Tech);J;2024;31100.2;75.21
17;Rioja, La;Hostelería;I;2024;17750.4;0.0
