codigo_provincia;provincia;comunidad_autonoma;sector;salario_medio_anual_eur;perceptores_estimados
31;Navarra;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);36500.0;2504
31;Navarra;Navarra, Comunidad Foral de;Hostelería;19800.0;18961
32;Ourense;Galicia;Información y comunicaciones (Tech);29100.0;522
32;Ourense;Galicia;Hostelería;17000.0;3615
33;Asturias;Asturias, Principado de;Información y comunicaciones (Tech);31900.0;5031
33;Asturias;Asturias, Principado de;Hostelería;18100.0;13141
34;Palencia;Castilla y León;Información y comunicaciones (Tech);30100.0;4416
34;Palencia;Castilla y León;Hostelería;17300.0;17482
35;Las Palmas;Canarias;Información y comunicaciones (Tech);30100.0;3200
35;Las Palmas;Canarias;Hostelería;19100.0;19174
36;Pontevedra;Galicia;Información y comunicaciones (Tech);32100.0;5979
36;Pontevedra;Galicia;Hostelería;17800.0;4935
37;Salamanca;Castilla y León;Información y comunicaciones (Tech);30600.0;5429
37;Salamanca;Castilla y León;Hostelería;17600.0;14396
38;Santa Cruz de Tenerife;Canarias;Información y comunicaciones (Tech);29500.0;7844
38;Santa Cruz de Tenerife;Canarias;Hostelería;18700.0;5915
39;Cantabria;Cantabria;Información y comunicaciones (Tech);30950.0;3969
39;Cantabria;Cantabria;Hostelería;17600.0;20855
40;Segovia;Castilla y León;Información y comunicaciones (Tech);29900.0;3215
40;Segovia;Castilla y León;Hostelería;17400.0;3116
41;Sevilla;Andalucía;Información y comunicaciones (Tech);33200.0;6520
41;Sevilla;Andalucía;Hostelería;18100.0;4246
42;Soria;Castilla y León;Información y comunicaciones (Tech);29800.0;3541
42;Soria;Castilla y León;Hostelería;17200.0;11853
43;Tarragona;Cataluña;Información y comunicaciones (Tech);34500.0;3870
43;Tarragona;Cataluña;Hostelería;19000.0;5433
44;Teruel;Aragón;Información y comunicaciones (Tech);29500.0;7415
44;Teruel;Aragón;Hostelería;17300.0;6057
45;Toledo;Castilla - La Mancha;Información y comunicaciones (Tech);31200.0;1483
45;Toledo;Castilla - La Mancha;Hostelería;17600.0;21363
46;Valencia/València;Comunitat Valenciana;Información y comunicaciones (Tech);34200.0;1361
46;Valencia/València;Comunitat Valenciana;Hostelería;18500.0;2666
47;Valladolid;Castilla y León;Información y comunicaciones (Tech);33400.0;5106
47;Valladolid;Castilla y León;Hostelería;18300.0;18469
48;Bizkaia;País Vasco;Información y comunicaciones (Tech);40200.0;1584
48;Bizkaia;País Vasco;Hostelería;21100.0;17706
49;Zamora;Castilla y León;Información y comunicaciones (Tech);28300.0;5390
49;Zamora;Castilla y León;Hostelería;16700.0;3355
50;Zaragoza;Aragón;Información y comunicaciones (Tech);33900.0;1177
50;Zaragoza;Aragón;Hostelería;18700.0;2096
