codigo_ccaa;comunidad_autonoma;sector;periodo;coste_salarial_mensual_eur;coste_salarial_hora_efectiva_eur
10;Comunitat Valenciana;Información y comunicaciones (Tech);2025T2;2560.3;16.9
10;Comunitat Valenciana;Hostelería;2025T2;1410.7;10.0
10;Comunitat Valenciana;Información y comunicaciones (Tech);2025T3;2560.3;16.9
10;Comunitat Valenciana;Hostelería;2025T3;1410.7;10.0
10;Comunitat Valenciana;Información y comunicaciones (Tech);2025T4;2560.3;16.9
10;Comunitat Valenciana;Hostelería;2025T4;1410.7;10.0
11;Extremadura;Información y comunicaciones (Tech);2024T1;2260.4;15.0
11;Extremadura;Hostelería;2024T1;1310.2;9.3
11;Extremadura;Información y comunicaciones (Tech);2024T2;2260.4;15.0
11;Extremadura;Hostelería;2024T2;1310.2;9.3
11;Extremadura;Información y comunicaciones (Tech);2024T3;2260.4;15.0
11;Extremadura;Hostelería;2024T3;1310.2;9.3
11;Extremadura;Información y comunicaciones (Tech);2024T4;2260.4;15.0
11;Extremadura;Hostelería;2024T4;1310.2;9.3
11;Extremadura;Información y comunicaciones (Tech);2025T1;2260.4;15.0
11;Extremadura;Hostelería;2025T1;1310.2;9.3
11;Extremadura;Información y comunicaciones (Tech);2025T2;2260.4;15.0
11;Extremadura;Hostelería;2025T2;1310.2;9.3
11;Extremadura;Información y comunicaciones (Tech);2025T3;2260.4;15.0
11;Extremadura;Hostelería;2025T3;1310.2;9.3
11;Extremadura;Información y comunicaciones (Tech);2025T4;2260.4;15.0
11;Extremadura;Hostelería;2025T4;1310.2;9.3
12;Galicia;Información y comunicaciones (Tech);2024T1;2500.8;16.5
12;Galicia;Hostelería;2024T1;1375.9;9.75
12;Galicia;Información y comunicaciones (Tech);2024T2;2500.8;16.5
12;Galicia;Hostelería;2024T2;1375.9;9.75
12;Galicia;Información y comunicaciones (Tech);2024T3;2500.8;16.5
12;Galicia;Hostelería;2024T3;1375.9;9.75
12;Galicia;Información y comunicaciones (Tech);2024T4;2500.8;16.5
12;Galicia;Hostelería;2024T4;1375.9;9.75
12;Galicia;Información y comunicaciones (Tech);2025T1;2500.8;16.5
12;Galicia;Hostelería;2025T1;1375.9;9.75
12;Galicia;Información y comunicaciones (Tech);2025T2;2500.8;16.5
12;Galicia;Hostelería;2025T2;1375.9;9.75
12;Galicia;Información y comunicaciones (Tech);2025T3;2500.8;16.5
12;Galicia;Hostelería;2025T3;1375.9;9.75
12;Galicia;Información y comunicaciones (Tech);2025T4;2500.8;16.5
12;Galicia;Hostelería;2025T4;1375.9;9.75
13;Madrid, Comunidad de;Información y comunicaciones (Tech);2024T1;3480.9;23.2
13;Madrid, Comunidad de;Hostelería;2024T1;1690.5;12.0
13;Madrid, Comunidad de;Información y comunicaciones (Tech);2024T2;3480.9;23.2
13;Madrid, Comunidad de;Hostelería;2024T2;1690.5;12.0
13;Madrid, Comunidad de;Información y comunicaciones (Tech);2024T3;3480.9;23.2
13;Madrid, Comunidad de;Hostelería;2024T3;1690.5;12.0
13;Madrid, Comunidad de;Información y comunicaciones (Tech);2024T4;3480.9;23.2
13;Madrid, Comunidad de;Hostelería;2024T4;1690.5;12.0
13;Madrid, Comunidad de;Información y comunicaciones (Tech);2025T1;3480.9;23.2
13;Madrid, Comunidad de;Hostelería;2025T1;1690.5;12.0
13;Madrid, Comunidad de;Información y comunicaciones (Tech);2025T2;3480.9;23.2
13;Madrid, Comunidad de;Hostelería;2025T2;1690.5;12.0
13;Madrid, Comunidad de;Información y comunicaciones (Tech);2025T3;3480.9;23.2
13;Madrid, Comunidad de;Hostelería;2025T3;1690.5;12.0
13;Madrid, Comunidad de;Información y comunicaciones (Tech);2025T4;3480.9;23.2
13;Madrid, Comunidad de;Hostelería;2025T4;1690.5;12.0
14;Murcia, Región de;Información y comunicaciones (Tech);2024T1;2370.2;15.7
14;Murcia, Región de;Hostelería;2024T1;1345.1;9.55
14;Murcia, Región de;Información y comunicaciones (Tech);2024T2;2370.2;15.7
14;Murcia, Región de;Hostelería;2024T2;1345.1;9.55
14;Murcia, Región de;Información y comunicaciones (Tech);2024T3;2370.2;15.7
14;Murcia, Región de;Hostelería;2024T3;1345.1;9.55
14;Murcia, Región de;Información y comunicaciones (Tech);2024T4;2370.2;15.7
14;Murcia, Región de;Hostelería;2024T4;1345.1;9.55
14;Murcia, Región de;Información y comunicaciones (Tech);2025T1;2370.2;15.7
14;Murcia, Región de;Hostelería;2025T1;1345.1;9.55
14;Murcia, Región de;Información y comunicaciones (Tech);2025T2;2370.2;15.7
14;Murcia, Región de;Hostelería;2025T2;1345.1;9.55
14;Murcia, Región de;Información y comunicaciones (Tech);2025T3;2370.2;15.7
14;Murcia, Región de;Hostelería;2025T3;1345.1;9.55
14;Murcia, Región de;Información y comunicaciones (Tech);2025T4;2370.2;15.7
14;Murcia, Región de;Hostelería;2025T4;1345.1;9.55
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);2024T1;2870.5;19.0
15;Navarra, Comunidad Foral de;Hostelería;2024T1;1520.4;10.8
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);2024T2;2870.5;19.0
15;Navarra, Comunidad Foral de;Hostelería;2024T2;1520.4;10.8
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);2024T3;2870.5;19.0
15;Navarra, Comunidad Foral de;Hostelería;2024T3;1520.4;10.8
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);2024T4;2870.5;19.0
15;Navarra, Comunidad Foral de;Hostelería;2024T4;1520.4;10.8
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);2025T1;2870.5;19.0
15;Navarra, Comunidad Foral de;Hostelería;2025T1;1520.4;10.8
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);2025T2;2870.5;19.0
15;Navarra, Comunidad Foral de;Hostelería;2025T2;1520.4;10.8
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);2025T3;2870.5;19.0
15;Navarra, Comunidad Foral de;Hostelería;2025T3;1520.4;10.8
15;Navarra, Comunidad Foral de;Información y comunicaciones (Tech);2025T4;2870.5;19.0
15;Navarra, Comunidad Foral de;Hostelería;2025T4;1520.4;10.8
16;País Vasco;Información y comunicaciones (Tech);2024T1;3120.7;20.8
16;País Vasco;Hostelería;2024T1;1610.6;11.4
16;País Vasco;Información y comunicaciones (Tech);2024T2;3120.7;20.8
16;País Vasco;Hostelería;2024T2;1610.6;11.4
16;País Vasco;Información y comunicaciones (Tech);2024T3;3120.7;20.8
16;País Vasco;Hostelería;2024T3;1610.6;11.4
16;País Vasco;Información y comunicaciones (Tech);2024T4;3120.7;20.8
16;País Vasco;Hostelería;2024T4;1610.6;11.4
16;País Vasco;Información y comunicaciones (Tech);2025T1;3120.7;20.8
16;País Vasco;Hostelería;2025T1;1610.6;11.4
16;País Vasco;Información y comunicaciones (Tech);2025T2;3120.7;20.8
16;País Vasco;Hostelería;2025T2;1610.6;11.4
16;País Vasco;Información y comunicaciones (Tech);2025T3;3120.7;20.8
16;País Vasco;Hostelería;2025T3;1610.6;11.4
16;País Vasco;Información y comunicaciones (Tech);2025T4;3120.7;20.8
16;País Vasco;Hostelería;2025T4;1610.6;11.4
17;Rioja, La;Información y comunicaciones (Tech);2024T1;2440.1;16.1
17;Rioja, La;Hostelería;2024T1;1370.3;9.7
17;Rioja, La;Información y comunicaciones (Tech);2024T2;2440.1;16.1
17;Rioja, La;Hostelería;2024T2;1370.3;9.7
17;Rioja, La;Información y comunicaciones (Tech);2024T3;2440.1;16.1
17;Rioja, La;Hostelería;2024T3;1370.3;9.7
17;Rioja, La;Información y comunicaciones (Tech);2024T4;2440.1;16.1
17;Rioja, La;Hostelería;2024T4;1370.3;9.7
17;Rioja, La;Información y comunicaciones (Tech);2025T1;2440.1;16.1
17;Rioja, La;Hostelería;2025T1;1370.3;9.7
17;Rioja, La;Información y comunicaciones (Tech);2025T2;2440.1;16.1
17;Rioja, La;Hostelería;2025T2;1370.3;9.7
17;Rioja, La;Información y comunicaciones (Tech);2025T3;2440.1;16.1
17;Rioja, La;Hostelería;2025T3;1370.3;9.7
17;Rioja, La;Información y comunicaciones (Tech);2025T4;2440.1;16.1
17;Rioja, La;Hostelería;2025T4;1370.3;9.7
