id_trabajador;comunidad_autonoma;sector;tipo_jornada;genero;edad;salario_bruto_anual_eur;salario_bruto_mensual_eur
TRAB_00044;Galicia;Información y comunicaciones (Tech);Tiempo completo;Mujeres;34;44438.04;3174.15
TRAB_00045;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;29;48586.02;3470.43
TRAB_00046;Cataluña;Hostelería;Tiempo completo;Hombres;44;22605.57;1614.68
TRAB_00047;Cataluña;Hostelería;Tiempo completo;Mujeres;43;18341.87;1310.13
TRAB_00048;Galicia;Información y comunicaciones (Tech);Tiempo completo;Hombres;54;32721.79;2337.27
TRAB_00049;Cataluña;Hostelería;Tiempo parcial;Hombres;27;11100.26;792.88
TRAB_00050;Comunitat Valenciana;Hostelería;Tiempo parcial;Mujeres;63;10500.0;750.0
TRAB_00051;Galicia;Información y comunicaciones (Tech);Tiempo completo;Hombres;47;36544.89;2610.35
TRAB_00052;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;46;47791.8;3413.7
TRAB_00053;Cataluña;Hostelería;Tiempo parcial;Mujeres;26;10500.0;750.0
TRAB_00054;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;35;56593.44;4042.39
TRAB_00055;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Mujeres;26;31657.63;2261.26
TRAB_00056;Andalucía;Hostelería;Tiempo completo;Hombres;44;17261.9;1232.99
TRAB_00057;Balears, Illes;Información y comunicaciones (Tech);Tiempo parcial;Hombres;31;17889.62;1277.83
TRAB_00058;Comunitat Valenciana;Hostelería;Tiempo completo;Hombres;23;26891.99;1920.86
TRAB_00059;Andalucía;Información y comunicaciones (Tech);Tiempo parcial;Hombres;56;14555.09;1039.65
TRAB_00060;Balears, Illes;Hostelería;Tiempo completo;Mujeres;31;28445.27;2031.81
TRAB_00061;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;56;51071.9;3647.99
TRAB_00062;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Hombres;28;20378.98;1455.64
TRAB_00063;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Mujeres;57;36037.84;2574.13
TRAB_00064;Cataluña;Hostelería;Tiempo completo;Mujeres;56;19685.07;1406.08
TRAB_00065;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;53;38040.87;2717.21
TRAB_00066;País Vasco;Hostelería;Tiempo completo;Mujeres;41;21895.11;1563.94
TRAB_00067;Cataluña;Hostelería;Tiempo parcial;Hombres;33;11862.49;847.32
TRAB_00068;Andalucía;Hostelería;Tiempo completo;Hombres;26;17001.9;1214.42
TRAB_00069;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Mujeres;44;36916.7;2636.91
TRAB_00070;Canarias;Hostelería;Tiempo parcial;Hombres;56;10500.0;750.0
TRAB_00071;Cataluña;Hostelería;Tiempo completo;Hombres;31;20360.29;1454.31
TRAB_00072;Cataluña;Hostelería;Tiempo completo;Hombres;48;20330.92;1452.21
TRAB_00073;Madrid, Comunidad de;Hostelería;Tiempo completo;Mujeres;22;18730.52;1337.89
TRAB_00074;Andalucía;Hostelería;Tiempo completo;Mujeres;40;19333.77;1380.98
TRAB_00075;Andalucía;Hostelería;Tiempo completo;Mujeres;60;11154.15;796.73
TRAB_00076;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Mujeres;62;28200.41;2014.32
TRAB_00077;Comunitat Valenciana;Hostelería;Tiempo completo;Hombres;46;16127.2;1151.94
TRAB_00078;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;42;12006.89;857.63
TRAB_00079;Balears, Illes;Información y comunicaciones (Tech);Tiempo parcial;Hombres;40;17721.33;1265.81
TRAB_00080;Comunitat Valenciana;Hostelería;Tiempo completo;Mujeres;24;19491.99;1392.29
TRAB_00081;Madrid, Comunidad de;Hostelería;Tiempo completo;Mujeres;29;16497.75;1178.41
TRAB_00082;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;49;37886.36;2706.17
TRAB_00083;Canarias;Información y comunicaciones (Tech);Tiempo parcial;Mujeres;38;14405.66;1028.98
TRAB_00084;Cataluña;Hostelería;Tiempo completo;Hombres;27;13597.56;971.25
TRAB_00085;País Vasco;Hostelería;Tiempo parcial;Hombres;51;10500.0;750.0
TRAB_00086;Canarias;Hostelería;Tiempo completo;Mujeres;46;16371.12;1169.37
TRAB_00087;Galicia;Hostelería;Tiempo parcial;Hombres;56;10500.0;750.0
TRAB_00088;País Vasco;Hostelería;Tiempo parcial;Mujeres;58;10500.0;750.0
TRAB_00089;Cataluña;Hostelería;Tiempo completo;Hombres;22;20481.18;1462.94
TRAB_00090;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Hombres;29;36629.95;2616.42
TRAB_00091;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Mujeres;33;26930.67;1923.62
TRAB_00092;Galicia;Información y comunicaciones (Tech);Tiempo completo;Mujeres;60;54853.32;3918.09
TRAB_00093;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;51;32182.76;2298.77
TRAB_00094;Andalucía;Hostelería;Tiempo completo;Mujeres;51;17965.64;1283.26
TRAB_00095;Castilla y León;Hostelería;Tiempo parcial;Hombres;38;10500.0;750.0
TRAB_00096;Canarias;Hostelería;Tiempo completo;Hombres;32;17277.81;1234.13
TRAB_00097;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;37;30088.73;2149.2
TRAB_00098;Castilla y León;Información y comunicaciones (Tech);Tiempo completo;Mujeres;40;36389.06;2599.22
TRAB_00099;Cataluña;Hostelería;Tiempo completo;Hombres;27;19571.88;1397.99
TRAB_00100;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Mujeres;30;30682.82;2191.63
TRAB_00101;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;38;39662.19;2833.01
TRAB_00102;Madrid, Comunidad de;Hostelería;Tiempo completo;Hombres;43;17518.55;1251.33
TRAB_00103;País Vasco;Información y comunicaciones (Tech);Tiempo completo;Mujeres;47;45189.01;3227.79
TRAB_00104;Andalucía;Hostelería;Tiempo completo;Hombres;56;18745.0;1338.93
TRAB_00105;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;60;30448.64;2174.9
TRAB_00106;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo parcial;Hombres;25;18760.85;1340.06
TRAB_00107;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Hombres;43;45708.12;3264.87
TRAB_00108;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;47;44850.19;3203.59
TRAB_00109;Madrid, Comunidad de;Hostelería;Tiempo completo;Hombres;54;19175.04;1369.65
TRAB_00110;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;30;10500.0;750.0
TRAB_00111;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Mujeres;52;33565.7;2397.55
TRAB_00112;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;59;12997.32;928.38
TRAB_00113;Balears, Illes;Hostelería;Tiempo completo;Mujeres;26;17741.77;1267.27
TRAB_00114;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;47;22981.58;1641.54
TRAB_00115;Madrid, Comunidad de;Hostelería;Tiempo completo;Mujeres;34;17392.66;1242.33
TRAB_00116;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Mujeres;34;40426.59;2887.61
TRAB_00117;Madrid, Comunidad de;Hostelería;Tiempo completo;Hombres;30;17106.64;1221.9
TRAB_00118;Cataluña;Información y comunicaciones (Tech);Tiempo parcial;Mujeres;35;34047.55;2431.97
TRAB_00119;Canarias;Hostelería;Tiempo completo;Hombres;22;19452.18;1389.44
TRAB_00120;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;51;14476.3;1034.02
TRAB_00121;Madrid, Comunidad de;Hostelería;Tiempo completo;Mujeres;25;23280.98;1662.93
TRAB_00122;Andalucía;Hostelería;Tiempo parcial;Mujeres;59;10500.0;750.0
TRAB_00123;Cataluña;Hostelería;Tiempo completo;Hombres;23;23569.64;1683.55
TRAB_00124;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;29;11210.36;800.74
TRAB_00125;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;51;11400.11;814.29
TRAB_00126;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Mujeres;25;42233.99;3016.71
TRAB_00127;País Vasco;Hostelería;Tiempo parcial;Hombres;59;10500.0;750.0
TRAB_00128;Comunitat Valenciana;Hostelería;Tiempo completo;Mujeres;50;20203.23;1443.09
TRAB_00129;País Vasco;Información y comunicaciones (Tech);Tiempo completo;Hombres;57;25310.04;1807.86
TRAB_00130;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo parcial;Hombres;29;23390.77;1670.77
TRAB_00131;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Mujeres;61;62011.77;4429.41
TRAB_00132;Castilla y León;Información y comunicaciones (Tech);Tiempo parcial;Hombres;25;18239.64;1302.83
TRAB_00133;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;52;10500.0;750.0
TRAB_00134;Balears, Illes;Hostelería;Tiempo parcial;Hombres;58;15151.02;1082.22
TRAB_00135;Galicia;Hostelería;Tiempo completo;Mujeres;61;11166.37;797.6
TRAB_00136;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;56;14114.06;1008.15
TRAB_00137;Andalucía;Información y comunicaciones (Tech);Tiempo parcial;Hombres;39;21760.61;1554.33
TRAB_00138;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;46;10915.32;779.67
TRAB_00139;Cataluña;Hostelería;Tiempo parcial;Hombres;43;10500.0;750.0
TRAB_00140;Canarias;Hostelería;Tiempo completo;Mujeres;43;14879.56;1062.83
TRAB_00141;Canarias;Información y comunicaciones (Tech);Tiempo completo;Hombres;34;19735.67;1409.69
TRAB_00142;Cataluña;Hostelería;Tiempo completo;Mujeres;50;12354.99;882.5
TRAB_00143;Andalucía;Hostelería;Tiempo completo;Mujeres;23;11361.29;811.52
TRAB_00144;País Vasco;Hostelería;Tiempo completo;Hombres;60;28684.13;2048.87
TRAB_00145;Cataluña;Hostelería;Tiempo parcial;Mujeres;54;13058.49;932.75
TRAB_00146;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Mujeres;29;51444.0;3674.57
TRAB_00147;Galicia;Información y comunicaciones (Tech);Tiempo completo;Mujeres;29;29837.07;2131.22
TRAB_00148;Castilla y León;Hostelería;Tiempo parcial;Hombres;58;10500.0;750.0
TRAB_00149;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;31;24971.99;1783.71
TRAB_00150;Galicia;Hostelería;Tiempo completo;Hombres;23;24558.75;1754.2
TRAB_00151;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;51;48547.44;3467.67
TRAB_00152;Canarias;Información y comunicaciones (Tech);Tiempo completo;Hombres;51;28751.11;2053.65
TRAB_00153;Castilla y León;Hostelería;Tiempo parcial;Hombres;38;10500.0;750.0
TRAB_00154;Cataluña;Hostelería;Tiempo completo;Mujeres;25;13159.33;939.95
TRAB_00155;Balears, Illes;Información y comunicaciones (Tech);Tiempo completo;Mujeres;27;17333.66;1238.12
TRAB_00156;Comunitat Valenciana;Hostelería;Tiempo parcial;Hombres;63;10839.1;774.22
TRAB_00157;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Mujeres;55;54989.27;3927.8
TRAB_00158;Balears, Illes;Información y comunicaciones (Tech);Tiempo completo;Hombres;23;41129.33;2937.81
TRAB_00159;País Vasco;Información y comunicaciones (Tech);Tiempo completo;Hombres;47;47419.74;3387.12
TRAB_00160;Comunitat Valenciana;Hostelería;Tiempo parcial;Hombres;45;10500.0;750.0
TRAB_00161;País Vasco;Hostelería;Tiempo completo;Hombres;41;18634.23;1331.02
TRAB_00162;Canarias;Hostelería;Tiempo completo;Mujeres;23;16377.54;1169.82
TRAB_00163;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;61;25978.43;1855.6
TRAB_00164;Galicia;Hostelería;Tiempo parcial;Hombres;55;10500.0;750.0
TRAB_00165;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Mujeres;38;39330.1;2809.29
TRAB_00166;Andalucía;Información y comunicaciones (Tech);Tiempo parcial;Mujeres;42;20672.33;1476.6
TRAB_00167;País Vasco;Hostelería;Tiempo parcial;Mujeres;39;10500.0;750.0
TRAB_00168;Balears, Illes;Hostelería;Tiempo completo;Mujeres;28;19768.38;1412.03
TRAB_00169;Andalucía;Hostelería;Tiempo completo;Hombres;36;13175.77;941.13
TRAB_00170;Canarias;Hostelería;Tiempo parcial;Hombres;51;11941.94;853.0
TRAB_00171;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;35;19353.56;1382.4
TRAB_00172;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;44;44509.3;3179.24
TRAB_00173;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Mujeres;46;41307.67;2950.55
TRAB_00174;Castilla y León;Información y comunicaciones (Tech);Tiempo completo;Hombres;55;47422.17;3387.3
TRAB_00175;Castilla y León;Información y comunicaciones (Tech);Tiempo completo;Mujeres;56;31781.5;2270.11
TRAB_00176;Cataluña;Hostelería;Tiempo completo;Hombres;60;17779.1;1269.94
TRAB_00177;País Vasco;Hostelería;Tiempo completo;Hombres;51;19318.25;1379.88
TRAB_00178;Cataluña;Hostelería;Tiempo parcial;Hombres;36;12636.88;902.63
TRAB_00179;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Mujeres;58;30508.49;2179.18
TRAB_00180;Balears, Illes;Hostelería;Tiempo completo;Mujeres;46;16697.66;1192.69
TRAB_00181;Madrid, Comunidad de;Hostelería;Tiempo completo;Mujeres;31;19487.15;1391.94
TRAB_00182;Canarias;Información y comunicaciones (Tech);Tiempo completo;Mujeres;44;27489.74;1963.55
TRAB_00183;Balears, Illes;Hostelería;Tiempo parcial;Hombres;63;10500.0;750.0
TRAB_00184;Castilla y León;Hostelería;Tiempo completo;Mujeres;46;30169.49;2154.96
TRAB_00185;Andalucía;Hostelería;Tiempo completo;Mujeres;24;16776.04;1198.29
TRAB_00186;Castilla y León;Información y comunicaciones (Tech);Tiempo completo;Hombres;46;16143.23;1153.09
TRAB_00187;Madrid, Comunidad de;Hostelería;Tiempo completo;Hombres;29;19058.17;1361.3
TRAB_00188;Canarias;Hostelería;Tiempo completo;Mujeres;34;17908.52;1279.18
TRAB_00189;Andalucía;Hostelería;Tiempo completo;Mujeres;24;22795.5;1628.25
TRAB_00190;Cataluña;Hostelería;Tiempo parcial;Mujeres;61;10500.0;750.0
TRAB_00191;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;46;31645.57;2260.4
TRAB_00192;Canarias;Hostelería;Tiempo completo;Mujeres;63;19877.48;1419.82
TRAB_00193;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;57;54105.77;3864.7
TRAB_00194;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;62;43087.98;3077.71
TRAB_00195;Cataluña;Hostelería;Tiempo parcial;Mujeres;56;10500.0;750.0
TRAB_00196;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;36;33966.12;2426.15
TRAB_00197;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;25;13361.99;954.43
TRAB_00198;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;39;22761.36;1625.81
TRAB_00199;Canarias;Hostelería;Tiempo parcial;Mujeres;56;10500.0;750.0
TRAB_00200;Galicia;Información y comunicaciones (Tech);Tiempo completo;Mujeres;32;44446.14;3174.72
TRAB_00201;Cataluña;Hostelería;Tiempo completo;Mujeres;38;25194.64;1799.62
TRAB_00202;Galicia;Información y comunicaciones (Tech);Tiempo completo;Hombres;32;32969.12;2354.94
TRAB_00203;Canarias;Información y comunicaciones (Tech);Tiempo completo;Hombres;42;15379.05;1098.5
TRAB_00204;País Vasco;Información y comunicaciones (Tech);Tiempo completo;Hombres;46;34899.98;2492.86
TRAB_00205;Andalucía;Hostelería;Tiempo completo;Mujeres;46;18870.9;1347.92
TRAB_00206;Galicia;Hostelería;Tiempo parcial;Mujeres;45;10629.86;759.28
TRAB_00207;Comunitat Valenciana;Hostelería;Tiempo parcial;Mujeres;35;13228.85;944.92
TRAB_00208;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;43;45509.35;3250.67
TRAB_00209;Cataluña;Hostelería;Tiempo parcial;Hombres;34;10738.2;767.01
TRAB_00210;Cataluña;Hostelería;Tiempo parcial;Mujeres;32;10500.0;750.0
TRAB_00211;Castilla y León;Hostelería;Tiempo parcial;Hombres;43;10500.0;750.0
TRAB_00212;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;49;35930.43;2566.46
TRAB_00213;Andalucía;Hostelería;Tiempo completo;Hombres;23;21592.56;1542.33
TRAB_00214;Galicia;Información y comunicaciones (Tech);Tiempo completo;Hombres;59;32824.27;2344.59
TRAB_00215;Comunitat Valenciana;Hostelería;Tiempo parcial;Hombres;61;12703.58;907.4
TRAB_00216;Balears, Illes;Información y comunicaciones (Tech);Tiempo completo;Hombres;33;40321.7;2880.12
TRAB_00217;País Vasco;Hostelería;Tiempo parcial;Hombres;28;11058.1;789.86
TRAB_00218;Galicia;Hostelería;Tiempo completo;Hombres;63;25406.18;1814.73
TRAB_00219;País Vasco;Información y comunicaciones (Tech);Tiempo completo;Mujeres;46;37116.87;2651.21
TRAB_00220;Cataluña;Hostelería;Tiempo completo;Mujeres;53;21696.66;1549.76
TRAB_00221;Andalucía;Hostelería;Tiempo parcial;Hombres;53;10500.0;750.0
TRAB_00222;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;36;67846.44;4846.17
TRAB_00223;Andalucía;Información y comunicaciones (Tech);Tiempo parcial;Mujeres;45;10500.0;750.0
TRAB_00224;Canarias;Información y comunicaciones (Tech);Tiempo completo;Mujeres;53;23885.59;1706.11
TRAB_00225;Madrid, Comunidad de;Hostelería;Tiempo completo;Mujeres;36;19309.49;1379.25
TRAB_00226;Andalucía;Información y comunicaciones (Tech);Tiempo parcial;Hombres;39;21974.12;1569.58
TRAB_00227;País Vasco;Hostelería;Tiempo completo;Mujeres;51;15298.78;1092.77
TRAB_00228;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;35;10500.0;750.0
TRAB_00229;Cataluña;Hostelería;Tiempo completo;Hombres;46;14821.27;1058.66
TRAB_00230;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;32;13553.82;968.13
TRAB_00231;Cataluña;Hostelería;Tiempo completo;Hombres;33;18963.0;1354.5
TRAB_00232;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Hombres;41;43103.18;3078.8
TRAB_00233;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Hombres;49;33565.17;2397.51
TRAB_00234;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;58;13396.76;956.91
TRAB_00235;Madrid, Comunidad de;Hostelería;Tiempo completo;Hombres;26;20763.75;1483.12
TRAB_00236;Cataluña;Hostelería;Tiempo completo;Mujeres;55;16421.75;1172.98
TRAB_00237;Canarias;Información y comunicaciones (Tech);Tiempo completo;Hombres;44;24159.8;1725.7
TRAB_00238;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;29;43630.51;3116.47
TRAB_00239;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;26;10773.74;769.55
TRAB_00240;Galicia;Información y comunicaciones (Tech);Tiempo parcial;Mujeres;48;17467.37;1247.67
TRAB_00241;Comunitat Valenciana;Hostelería;Tiempo parcial;Hombres;37;10738.07;767.0
TRAB_00242;Cataluña;Hostelería;Tiempo completo;Mujeres;30;23961.41;1711.53
TRAB_00243;Canarias;Hostelería;Tiempo parcial;Hombres;52;10866.69;776.19
TRAB_00244;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Mujeres;39;43199.96;3085.71
TRAB_00245;Cataluña;Hostelería;Tiempo parcial;Hombres;28;10500.0;750.0
TRAB_00246;Cataluña;Hostelería;Tiempo completo;Hombres;56;13425.04;958.93
TRAB_00247;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Mujeres;31;40025.04;2858.93
TRAB_00248;Canarias;Hostelería;Tiempo parcial;Mujeres;50;13189.95;942.14
TRAB_00249;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;57;52458.46;3747.03
TRAB_00250;País Vasco;Hostelería;Tiempo parcial;Hombres;44;10865.6;776.11
TRAB_00251;Castilla y León;Información y comunicaciones (Tech);Tiempo completo;Mujeres;57;30299.93;2164.28
TRAB_00252;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;48;36977.66;2641.26
TRAB_00253;Andalucía;Hostelería;Tiempo completo;Hombres;51;13541.49;967.25
TRAB_00254;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Mujeres;31;48466.94;3461.92
TRAB_00255;Madrid, Comunidad de;Hostelería;Tiempo completo;Mujeres;63;19424.62;1387.47
TRAB_00256;Galicia;Información y comunicaciones (Tech);Tiempo completo;Hombres;34;39165.88;2797.56
TRAB_00257;Galicia;Hostelería;Tiempo parcial;Hombres;30;10500.0;750.0
TRAB_00258;Balears, Illes;Información y comunicaciones (Tech);Tiempo completo;Hombres;48;36297.98;2592.71
TRAB_00259;Cataluña;Hostelería;Tiempo parcial;Hombres;31;12290.69;877.91
TRAB_00260;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;55;46129.06;3294.93
TRAB_00261;Andalucía;Hostelería;Tiempo completo;Hombres;56;21355.52;1525.39
TRAB_00262;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;23;59894.71;4278.19
TRAB_00263;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;60;41383.48;2955.96
TRAB_00264;Cataluña;Hostelería;Tiempo parcial;Mujeres;57;10500.0;750.0
TRAB_00265;Castilla y León;Información y comunicaciones (Tech);Tiempo completo;Hombres;27;26720.92;1908.64
TRAB_00266;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;42;10565.42;754.67
TRAB_00267;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;24;18503.71;1321.69
TRAB_00268;Cataluña;Hostelería;Tiempo completo;Mujeres;57;14681.43;1048.67
TRAB_00269;Comunitat Valenciana;Hostelería;Tiempo parcial;Hombres;63;10500.0;750.0
TRAB_00270;Cataluña;Hostelería;Tiempo parcial;Mujeres;37;10500.0;750.0
TRAB_00271;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo parcial;Hombres;41;22361.33;1597.24
TRAB_00272;Andalucía;Hostelería;Tiempo parcial;Hombres;60;11341.17;810.08
TRAB_00273;Comunitat Valenciana;Hostelería;Tiempo completo;Hombres;35;16336.78;1166.91
